employee_id,department,clock_in,clock_out,tasks_completed
1,Finance,2026-06-15 08:14:00,2026-06-15 14:14:00,7
2,IT,2026-06-15 08:38:00,2026-06-15 13:38:00,18
3,Finance,2026-06-15 10:10:00,2026-06-15 18:10:00,3
4,Sales,2026-06-15 10:21:00,2026-06-15 18:21:00,1
5,Sales,2026-06-15 09:37:00,2026-06-15 14:37:00,0
6,Sales,2026-06-15 09:21:00,2026-06-15 17:21:00,11
7,IT,2026-06-15 08:26:00,2026-06-15 14:26:00,9
8,Sales,2026-06-15 10:46:00,2026-06-15 19:46:00,18
9,Sales,2026-06-15 10:51:00,2026-06-15 14:51:00,2
10,IT,2026-06-15 10:06:00,2026-06-15 18:06:00,8
11,Finance,2026-06-15 09:03:00,2026-06-15 13:03:00,13
12,HR,2026-06-15 09:08:00,2026-06-15 14:08:00,1
13,Sales,2026-06-15 10:59:00,2026-06-15 17:59:00,7
14,Finance,2026-06-15 10:13:00,2026-06-15 14:13:00,3
15,HR,2026-06-15 09:05:00,2026-06-15 18:05:00,9
16,Sales,2026-06-15 09:28:00,2026-06-15 14:28:00,11
17,HR,2026-06-15 09:35:00,2026-06-15 18:35:00,15
18,Finance,2026-06-15 09:22:00,2026-06-15 16:22:00,7
19,IT,2026-06-15 08:17:00,2026-06-15 16:17:00,12
20,IT,2026-06-15 08:14:00,2026-06-15 16:14:00,0
21,IT,2026-06-15 10:08:00,2026-06-15 14:08:00,11
22,Sales,2026-06-15 10:10:00,2026-06-15 16:10:00,16
23,Sales,2026-06-15 10:34:00,2026-06-15 14:34:00,4
24,HR,2026-06-15 10:57:00,2026-06-15 14:57:00,6
25,IT,2026-06-15 09:32:00,2026-06-15 18:32:00,4
26,Finance,2026-06-15 09:26:00,2026-06-15 15:26:00,0
27,Finance,2026-06-15 08:46:00,2026-06-15 17:46:00,2
28,IT,2026-06-15 08:25:00,2026-06-15 17:25:00,6
29,Finance,2026-06-15 08:14:00,2026-06-15 13:14:00,9
30,Sales,2026-06-15 08:50:00,2026-06-15 12:50:00,19
31,IT,2026-06-15 09:36:00,2026-06-15 17:36:00,14
32,Finance,2026-06-15 08:35:00,2026-06-15 16:35:00,6
33,Finance,2026-06-15 10:21:00,2026-06-15 17:21:00,1
34,HR,2026-06-15 08:56:00,2026-06-15 16:56:00,5
35,Sales,2026-06-15 09:10:00,2026-06-15 14:10:00,6
36,HR,2026-06-15 08:00:00,2026-06-15 12:00:00,19
37,IT,2026-06-15 08:02:00,2026-06-15 17:02:00,7
38,Finance,2026-06-15 08:36:00,2026-06-15 12:36:00,18
39,HR,2026-06-15 10:58:00,2026-06-15 19:58:00,8
40,Sales,2026-06-15 08:48:00,2026-06-15 13:48:00,19
41,Sales,2026-06-15 09:38:00,2026-06-15 14:38:00,2
42,IT,2026-06-15 08:48:00,2026-06-15 12:48:00,16
43,HR,2026-06-15 09:27:00,2026-06-15 18:27:00,4
44,Sales,2026-06-15 08:00:00,2026-06-15 14:00:00,1
45,IT,2026-06-15 09:31:00,2026-06-15 18:31:00,3
46,Finance,2026-06-15 10:55:00,2026-06-15 16:55:00,16
47,Finance,2026-06-15 09:23:00,2026-06-15 17:23:00,19
48,HR,2026-06-15 09:21:00,2026-06-15 15:21:00,15
49,Sales,2026-06-15 08:08:00,2026-06-15 15:08:00,5
50,Sales,2026-06-15 08:02:00,2026-06-15 15:02:00,3
51,Finance,2026-06-15 09:02:00,2026-06-15 15:02:00,19
52,Sales,2026-06-15 10:51:00,2026-06-15 14:51:00,0
53,Sales,2026-06-15 10:17:00,2026-06-15 14:17:00,10
54,Sales,2026-06-15 08:24:00,2026-06-15 13:24:00,9
55,Finance,2026-06-15 10:59:00,2026-06-15 15:59:00,15
56,IT,2026-06-15 08:01:00,2026-06-15 12:01:00,15
57,HR,2026-06-15 08:36:00,2026-06-15 14:36:00,8
58,IT,2026-06-15 10:18:00,2026-06-15 16:18:00,19
59,Sales,2026-06-15 09:55:00,2026-06-15 13:55:00,19
60,Finance,2026-06-15 08:07:00,2026-06-15 15:07:00,5
61,Sales,2026-06-15 09:34:00,2026-06-15 18:34:00,2
62,IT,2026-06-15 08:17:00,2026-06-15 17:17:00,17
63,HR,2026-06-15 09:34:00,2026-06-15 17:34:00,8
64,Sales,2026-06-15 08:03:00,2026-06-15 12:03:00,13
65,IT,2026-06-15 10:02:00,2026-06-15 14:02:00,0
66,Sales,2026-06-15 10:50:00,2026-06-15 19:50:00,13
67,HR,2026-06-15 09:37:00,2026-06-15 17:37:00,18
