sale_id,store_id,store_name,product_id,product_name,quantity,price,cost,returns,sale_date
1,104,Mumbai Store,205,Mouse,7,54843,42755,2,2026-05-02
2,103,Hyderabad Store,207,Tablet,3,22462,19314,3,2026-04-14
3,103,Hyderabad Store,206,Monitor,5,1269,1036,1,2026-02-07
4,102,Bangalore Store,208,Printer,4,39688,31164,1,2026-01-22
5,105,Delhi Store,204,Keyboard,1,41934,32857,1,2026-01-15
6,103,Hyderabad Store,204,Keyboard,7,1767,1374,2,2026-02-20
7,105,Delhi Store,201,Laptop,7,22277,19707,3,2026-01-14
8,102,Bangalore Store,202,Mobile,1,24397,15353,3,2026-04-02
9,104,Mumbai Store,207,Tablet,4,17659,10777,1,2026-03-22
10,104,Mumbai Store,202,Mobile,4,19957,14519,1,2026-04-16
11,104,Mumbai Store,206,Monitor,5,46258,39443,3,2026-06-11
12,102,Bangalore Store,206,Monitor,4,33106,29019,3,2026-02-09
13,105,Delhi Store,208,Printer,5,9029,6879,3,2026-06-03
14,101,Chennai Store,204,Keyboard,4,9071,6193,0,2026-01-15
15,105,Delhi Store,201,Laptop,1,41274,30007,0,2026-05-16
16,103,Hyderabad Store,203,Headphones,1,33659,27556,0,2026-05-03
17,105,Delhi Store,202,Mobile,7,39452,34500,0,2026-03-13
18,104,Mumbai Store,202,Mobile,1,24099,17140,1,2026-02-06
19,103,Hyderabad Store,204,Keyboard,6,25038,19238,2,2026-04-11
20,103,Hyderabad Store,201,Laptop,5,57037,38260,1,2026-04-13
21,103,Hyderabad Store,201,Laptop,7,22018,13943,3,2026-06-28
22,101,Chennai Store,204,Keyboard,5,45651,36915,0,2026-05-31
23,105,Delhi Store,207,Tablet,3,54288,36299,3,2026-03-12
24,103,Hyderabad Store,203,Headphones,6,22799,20038,0,2026-03-03
25,101,Chennai Store,205,Mouse,6,29967,25205,3,2026-03-25
26,103,Hyderabad Store,208,Printer,2,10730,9322,2,2026-05-09
27,101,Chennai Store,203,Headphones,6,7276,6151,0,2026-01-03
28,103,Hyderabad Store,201,Laptop,6,4248,3431,1,2026-06-21
29,103,Hyderabad Store,206,Monitor,1,53415,37875,0,2026-02-21
30,104,Mumbai Store,206,Monitor,7,44917,36548,0,2026-04-23
31,101,Chennai Store,203,Headphones,1,29173,21903,1,2026-03-28
32,105,Delhi Store,208,Printer,1,56180,37745,1,2026-02-22
33,104,Mumbai Store,202,Mobile,6,22419,17437,2,2026-05-03
34,101,Chennai Store,207,Tablet,6,2827,2095,1,2026-05-19
35,101,Chennai Store,201,Laptop,4,21166,13883,0,2026-01-03
36,104,Mumbai Store,204,Keyboard,3,47511,28743,2,2026-05-27
37,104,Mumbai Store,208,Printer,7,18727,16520,3,2026-05-08
38,102,Bangalore Store,208,Printer,1,2302,1616,0,2026-06-27
39,102,Bangalore Store,203,Headphones,7,47343,30890,3,2026-03-01
40,101,Chennai Store,202,Mobile,1,38691,34420,0,2026-02-06
41,103,Hyderabad Store,207,Tablet,1,7900,5567,3,2026-05-11
42,104,Mumbai Store,208,Printer,6,59540,47191,2,2026-04-23
43,104,Mumbai Store,206,Monitor,4,58097,35018,1,2026-04-09
44,101,Chennai Store,205,Mouse,2,47475,32834,1,2026-02-23
45,103,Hyderabad Store,208,Printer,5,47260,30850,3,2026-02-02
46,105,Delhi Store,208,Printer,4,59371,47193,2,2026-05-25
47,101,Chennai Store,208,Printer,4,42414,30127,2,2026-01-22
48,105,Delhi Store,203,Headphones,6,6395,5047,1,2026-01-21
49,101,Chennai Store,204,Keyboard,7,42419,36448,3,2026-03-02
50,103,Hyderabad Store,204,Keyboard,3,44580,27331,3,2026-06-07
51,105,Delhi Store,206,Monitor,5,44025,31303,0,2026-02-06
52,105,Delhi Store,201,Laptop,6,45736,35293,3,2026-04-26
53,105,Delhi Store,205,Mouse,7,50836,35334,3,2026-01-18
54,101,Chennai Store,202,Mobile,7,23593,19082,3,2026-06-23
55,102,Bangalore Store,208,Printer,7,11593,8203,2,2026-06-04
56,102,Bangalore Store,202,Mobile,2,1284,1097,0,2026-02-12
57,105,Delhi Store,202,Mobile,7,50189,42311,0,2026-06-01
58,105,Delhi Store,204,Keyboard,2,52602,39475,0,2026-01-20
59,101,Chennai Store,208,Printer,6,4995,3073,2,2026-05-23
60,104,Mumbai Store,202,Mobile,2,55571,42983,1,2026-02-20
61,101,Chennai Store,202,Mobile,7,50800,43265,1,2026-03-27
62,101,Chennai Store,204,Keyboard,2,53506,37885,3,2026-04-11
63,101,Chennai Store,208,Printer,5,55343,36789,0,2026-04-13
64,104,Mumbai Store,206,Monitor,5,58835,44679,2,2026-04-09
65,104,Mumbai Store,208,Printer,5,37733,28484,1,2026-05-27
66,101,Chennai Store,208,Printer,7,14598,10681,2,2026-03-31
67,105,Delhi Store,202,Mobile,5,6449,5486,0,2026-05-20
68,105,Delhi Store,201,Laptop,2,29805,19281,1,2026-04-06
69,101,Chennai Store,208,Printer,5,49512,39187,0,2026-03-10
70,105,Delhi Store,207,Tablet,3,20031,15420,2,2026-03-27
71,101,Chennai Store,205,Mouse,6,9935,6098,0,2026-04-04
72,104,Mumbai Store,205,Mouse,4,44419,27955,3,2026-03-26
73,104,Mumbai Store,201,Laptop,6,59601,47378,1,2026-01-10
74,105,Delhi Store,204,Keyboard,2,40658,24581,2,2026-04-06
75,101,Chennai Store,208,Printer,5,16864,10942,3,2026-03-21
76,102,Bangalore Store,201,Laptop,4,25971,20541,3,2026-06-01
77,104,Mumbai Store,202,Mobile,3,35695,22793,0,2026-06-28
78,103,Hyderabad Store,205,Mouse,4,41270,34919,3,2026-03-15
79,103,Hyderabad Store,204,Keyboard,5,43904,29168,1,2026-05-10
80,105,Delhi Store,203,Headphones,2,35350,24779,1,2026-01-08
81,105,Delhi Store,202,Mobile,2,10317,7244,2,2026-04-15
82,104,Mumbai Store,202,Mobile,5,39013,30768,0,2026-04-30
83,104,Mumbai Store,201,Laptop,5,24048,16463,1,2026-04-11
84,101,Chennai Store,208,Printer,3,49316,40414,3,2026-04-06
85,105,Delhi Store,204,Keyboard,1,20650,17041,0,2026-04-09
86,101,Chennai Store,206,Monitor,1,45412,34130,3,2026-03-27
87,105,Delhi Store,203,Headphones,3,47780,29434,0,2026-05-27
88,104,Mumbai Store,201,Laptop,7,59663,52802,3,2026-02-21
89,103,Hyderabad Store,202,Mobile,7,8835,6489,2,2026-05-20
90,101,Chennai Store,204,Keyboard,3,22472,18555,2,2026-05-24
91,101,Chennai Store,207,Tablet,5,24744,18516,2,2026-05-22
92,102,Bangalore Store,205,Mouse,3,38602,29483,2,2026-05-26
93,104,Mumbai Store,201,Laptop,2,17837,14010,0,2026-01-07
94,105,Delhi Store,208,Printer,2,28069,24351,1,2026-01-05
95,105,Delhi Store,205,Mouse,6,27462,21266,0,2026-03-06
96,104,Mumbai Store,201,Laptop,7,40762,36514,3,2026-02-05
97,104,Mumbai Store,207,Tablet,3,7088,5056,2,2026-04-01
98,102,Bangalore Store,202,Mobile,3,29210,21333,0,2026-05-21
99,102,Bangalore Store,204,Keyboard,6,58925,48453,3,2026-03-02
100,101,Chennai Store,207,Tablet,1,39798,30843,1,2026-04-23
101,101,Chennai Store,208,Printer,1,38297,27991,1,2026-02-13
102,105,Delhi Store,208,Printer,5,35120,24471,3,2026-04-28
103,105,Delhi Store,203,Headphones,4,22232,15026,2,2026-01-20
104,101,Chennai Store,202,Mobile,7,18140,12063,2,2026-06-08
105,101,Chennai Store,205,Mouse,6,41321,29555,2,2026-01-12
106,102,Bangalore Store,208,Printer,6,24459,19225,3,2026-05-02
107,104,Mumbai Store,204,Keyboard,2,36987,26113,1,2026-01-28
108,104,Mumbai Store,205,Mouse,1,5335,4779,1,2026-05-25
109,101,Chennai Store,201,Laptop,5,57543,44931,3,2026-06-06
110,105,Delhi Store,206,Monitor,3,52976,46733,2,2026-02-16
111,101,Chennai Store,202,Mobile,2,19755,17048,2,2026-04-19
